id	symbols	category	source	source_lines	english	zh	status	note
122		server_admin	CRES_modernizer.DLL		ADDBAN <IP> - Adds IP to ban list (e.g. 123.456.789.012 or 123.456.*)	ADDBAN <IP> - 将IP加入封禁列表（例如123.456.789.012或123.456.*）		SCMD/server admin text; low priority for single-player
123		server_admin	CRES_modernizer.DLL		REMOVEBAN <banid> - Removes IP from ban list by banid.	REMOVEBAN <banid> - 按封禁ID从封禁列表中移除IP		SCMD/server admin text; low priority for single-player
124		server_admin	CRES_modernizer.DLL		LISTBANS - Lists all current banned IP's.	LISTBANS - 列出当前所有被封禁的IP		SCMD/server admin text; low priority for single-player
125		server_admin	CRES_modernizer.DLL		Banned IP List format: banid) [IP]	封禁IP列表格式：banid) [IP]		SCMD/server admin text; low priority for single-player
126		server_admin	CRES_modernizer.DLL		No IP Bans.	没有被封禁的IP		SCMD/server admin text; low priority for single-player
127		server_admin	CRES_modernizer.DLL		BANCLIENT <clientid> - Bans client by client id.	BANCLIENT <clientid> - 按客户端ID封禁客户端		SCMD/server admin text; low priority for single-player
128		server_admin	CRES_modernizer.DLL		Cooperative	合作模式		SCMD/server admin text; low priority for single-player
129		server_admin	CRES_modernizer.DLL		Deathmatch	死亡竞赛		SCMD/server admin text; low priority for single-player
130		server_admin	CRES_modernizer.DLL		Score limit	分数上限		SCMD/server admin text; low priority for single-player
131		server_admin	CRES_modernizer.DLL		Time limit	时间限制		SCMD/server admin text; low priority for single-player
132		server_admin	CRES_modernizer.DLL		Run speed	奔跑速度		SCMD/server admin text; low priority for single-player
133		server_admin	CRES_modernizer.DLL		Friendly fire	友军伤害		SCMD/server admin text; low priority for single-player
134		server_admin	CRES_modernizer.DLL		Difficulty	难度		SCMD/server admin text; low priority for single-player
135		server_admin	CRES_modernizer.DLL		Player difficulty factor	玩家难度系数		SCMD/server admin text; low priority for single-player
136		server_admin	CRES_modernizer.DLL		No Game Options available.	没有可用的游戏选项		SCMD/server admin text; low priority for single-player
137		server_admin	CRES_modernizer.DLL		LISTGAMEOPTIONS - Lists game options.	LISTGAMEOPTIONS - 列出游戏选项		SCMD/server admin text; low priority for single-player
138		server_admin	CRES_modernizer.DLL		Game Options List format: optionid) [option][value]	游戏选项列表格式：选项ID) [选项][数值]		SCMD/server admin text; low priority for single-player
139		server_admin	CRES_modernizer.DLL		SETGAMEOPTION <optionid> <value> - Sets game option by optionid.	SETGAMEOPTION <optionid> <value> - 按选项ID设置游戏选项		SCMD/server admin text; low priority for single-player
140		server_admin	CRES_modernizer.DLL		Team Deathmatch	团队死亡竞赛		SCMD/server admin text; low priority for single-player
141		server_admin	CRES_modernizer.DLL		Doomsday	末日模式		SCMD/server admin text; low priority for single-player
142		server_admin	CRES_modernizer.DLL		Rounds	回合数		SCMD/server admin text; low priority for single-player
502	IDS_TITLE_GAME	menu	CRES_modernizer.DLL	shared:65	SINGLE PLAYER	单人游戏		
503	IDS_TITLE_DIFFICULTY	menu	CRES_modernizer.DLL	shared:66	DIFFICULTY	难度		
504	IDS_TITLE_OPTIONS	menu	CRES_modernizer.DLL	shared:67	OPTIONS	选项		
505	IDS_TITLE_NEWGAME	menu	CRES_modernizer.DLL	shared:68	NEW GAME	新游戏		
506	IDS_TITLE_LOADGAME	menu	CRES_modernizer.DLL	shared:69	LOAD GAME	载入游戏		
507	IDS_TITLE_SAVEGAME	menu	CRES_modernizer.DLL	shared:70	SAVE GAME	保存游戏		
508	IDS_TITLE_CUSTOMLEVELS	menu	CRES_modernizer.DLL	shared:71	CUSTOM LEVELS	自定义关卡		
509	IDS_TITLE_DISPLAYOPTIONS	menu	CRES_modernizer.DLL	shared:72	DISPLAY OPTIONS	显示选项		
510	IDS_TITLE_TEXTURE	menu	CRES_modernizer.DLL	shared:73	TEXTURE RESOLUTION	纹理分辨率		
511	IDS_TITLE_PERFORMANCE	menu	CRES_modernizer.DLL	shared:74	PERFORMANCE	性能		
512	IDS_TITLE_SOUND	menu	CRES_modernizer.DLL	shared:79	SOUND	声音		
513	IDS_TITLE_KEYBOARD	menu	CRES_modernizer.DLL	shared:80	KEYBOARD	键盘		
514	IDS_TITLE_MOUSE	menu	CRES_modernizer.DLL	shared:81	MOUSE	鼠标		
516	IDS_TITLE_BRIEFING	menu	CRES_modernizer.DLL	shared:83	MISSION	任务		
517	IDS_TITLE_STATUS;IDS_NO_DM_MAPS	menu	CRES_modernizer.DLL	shared:84	No maps available for this game mode.	此游戏模式没有可用地图		
518	IDS_TITLE_ENDMISSION	mission	CRES_modernizer.DLL	shared:85	MISSION SUMMARY	任务总结		
519	IDS_TITLE_PROFILE	menu	CRES_modernizer.DLL	shared:86	PLAYER PROFILE	玩家档案		
536	IDS_TITLE_SUMMARY	menu	CRES_modernizer.DLL	shared:107	PLAYER	玩家		
521	IDS_TITLE_CROSSHAIR	menu	CRES_modernizer.DLL	shared:88	CROSSHAIR	准星		
522	IDS_TITLE_CONTROLS	menu	CRES_modernizer.DLL	shared:89	CONTROLS	控制		
523	IDS_TITLE_CONFIGURE	menu	CRES_modernizer.DLL	shared:90	CONFIGURE CONTROLS	配置控制		
524	IDS_TITLE_MULTI	menu	CRES_modernizer.DLL	shared:91	MULTIPLAYER	多人游戏		
528	IDS_TITLE_GAME_OPTIONS	menu	CRES_modernizer.DLL	shared:99	GAME OPTIONS	游戏选项		
526	IDS_TITLE_SKILLS	menu	CRES_modernizer.DLL	shared:93	SKILLS	技能		
527	IDS_TITLE_OBJECTIVES	menu	CRES_modernizer.DLL	shared:94	MISSION OBJECTIVES	任务目标		
529	IDS_TITLE_INVENTORY	menu	CRES_modernizer.DLL	shared:100	EQUIPMENT	装备		
530	IDS_TITLE_ADVDISPLAY	menu	CRES_modernizer.DLL	shared:101	ADVANCED DISPLAY OPTIONS	高级显示选项		
531	IDS_TITLE_EFFECTS	menu	CRES_modernizer.DLL	shared:102	SPECIAL EFFECTS	特殊效果		
532	IDS_TITLE_JOIN	menu	CRES_modernizer.DLL	shared:103	JOIN GAME	加入游戏		
533	IDS_TITLE_HOST	menu	CRES_modernizer.DLL	shared:104	HOST GAME	主办游戏		
534	IDS_TITLE_HOST_MISSIONS	mission	CRES_modernizer.DLL	shared:105	MISSIONS	任务		
535	IDS_TITLE_PLAYER_SETUP	menu	CRES_modernizer.DLL	shared:106	PLAYER SETUP	玩家设置		
537	IDS_CHAPTERS	menu	CRES_modernizer.DLL	shared:108	Chapter list	章节列表		
538	IDS_TITLE_INTEL	intel	CRES_modernizer.DLL	shared:109	INTELLIGENCE	情报		
539	IDS_TITLE_HOST_CAMPAIGN	menu	CRES_modernizer.DLL	shared:110	CAMPAIGN	战役		
540	IDS_TITLE_SYSTEM	menu	CRES_modernizer.DLL	shared:111	SYSTEM	系统		
541	IDS_TITLE_KEYS	menu	CRES_modernizer.DLL	shared:112	INVENTORY	物品栏		
542	IDS_SUBROUTINES;IDS_HOST_NAME_TDM_DEFAULT	menu	CRES_modernizer.DLL	shared:113	NOLF2 Team Deathmatch	《无人用生2》团队死亡竞赛		
543	IDS_MULTIPLAYER_LAN	menu	CRES_modernizer.DLL	shared:114	Multiplayer (LAN)	多人游戏（局域网）		
544	IDS_HELP_SUBROUTINES;IDS_HOST_NAME_DD_DEFAULT	menu	CRES_modernizer.DLL	shared:119	NOLF2 Doomsday	《无人用生2》末日模式		
545	IDS_HELP_MULTIPLAYER_LAN	menu	CRES_modernizer.DLL		Start a LAN multiplayer game or set multiplayer options.	开始局域网多人游戏或设置多人游戏选项		
546	IDS_RATINGS;IDS_TITLE_TEAM	menu	CRES_modernizer.DLL	shared:122	TEAM SETUP	队伍设置		
547	IDS_HELP_CHAPTERS	menu	CRES_modernizer.DLL	shared:123	Replay a chapter.	重玩一个章节		
548	IDS_HELP_RATINGS;IDS_HELP_TEAM_NAME	menu	CRES_modernizer.DLL	shared:124	Set the name of the team.	设置队伍名称		
549	IDS_HELP_CHAPTER_LIST	menu	CRES_modernizer.DLL	shared:125	Replay the highlighted chapter.	重玩选中的章节		
550	IDS_HELP_FAILURE	menu	CRES_modernizer.DLL	shared:126	Press F9 to QuickLoad.\nPress any other key to go to the Load Screen	按F9快速载入\n按任意其他键进入载入界面		line breaks are escaped as \n
551	IDS_PRESS_ANY_KEY	menu	CRES_modernizer.DLL	shared:127	Press any key to continue.	按任意键继续		
870	IDS_NEW_MEDIUM	menu	CRES_modernizer.DLL	shared:647	Normal	普通		
553	IDS_PERFORMANCE_TEST	menu	CRES_modernizer.DLL	shared:129	Test Settings	测试设置		
554	IDS_CUSTOM	menu	CRES_modernizer.DLL	shared:130	Custom	自定义		
555	IDS_ON	menu	CRES_modernizer.DLL	shared:131	On	开		
556	IDS_OFF	menu	CRES_modernizer.DLL	shared:132	Off	关		
557	IDS_YES	menu	CRES_modernizer.DLL	shared:133	Yes	是		
558	IDS_NO	menu	CRES_modernizer.DLL	shared:134	No	否		
864	IDS_JOYSTICK_AXISNONE	menu	CRES_modernizer.DLL	shared:641	None	无		
560	IDS_FEW	menu	CRES_modernizer.DLL	shared:160	Few	少量		
561	IDS_SOME	menu	CRES_modernizer.DLL	shared:161	Some	一些		
562	IDS_LOTS	menu	CRES_modernizer.DLL	shared:162	Lots	大量		
987	IDS_FILTER_ALLPING	menu	CRES_modernizer.DLL	shared:612	All	全部		
564	IDS_CLOSE	menu	CRES_modernizer.DLL	shared:164	Close	关闭		
565	IDS_SPACER	menu	CRES_modernizer.DLL	shared:165	   -   	-		
566	IDS_BACK	menu	CRES_modernizer.DLL	shared:166	Back	返回		
567	IDS_CREATE	menu	CRES_modernizer.DLL	shared:167	Create	创建		
568	IDS_LOAD	menu	CRES_modernizer.DLL	shared:168	Load	载入		
569	IDS_DELETE	menu	CRES_modernizer.DLL	shared:169	Delete	删除		
570	IDS_OK	menu	CRES_modernizer.DLL	shared:170	OK	确定		
571	IDS_CANCEL	menu	CRES_modernizer.DLL	shared:171	Cancel	取消		
572	IDS_ENTER_NAME	menu	CRES_modernizer.DLL	shared:172	Enter a name for this game:	请输入此游戏的名称：		
573	IDS_CONTINUE	menu	CRES_modernizer.DLL	shared:173	Next	下一步		
574	IDS_EMPTY_SLOT	menu	CRES_modernizer.DLL	shared:174	[Empty slot]	[空栏位]		
575	IDS_WHEEL_UP	menu	CRES_modernizer.DLL	shared:175	Wheel Up	滚轮向上		
576	IDS_WHEEL_DOWN	menu	CRES_modernizer.DLL	shared:180	Wheel Down	滚轮向下		
577	IDS_RANK	menu	CRES_modernizer.DLL	shared:181	Rank:	等级：		
578	IDS_SKILL_PTS	menu	CRES_modernizer.DLL	shared:182	Skill Points:	技能点：		
579	IDS_SINGLEPLAYER	menu	CRES_modernizer.DLL	shared:183	Single player	单人游戏		
580	IDS_MULTIPLAYER	menu	CRES_modernizer.DLL	shared:184	Multiplayer (Internet)	多人游戏（互联网）		
581	IDS_OPTIONS	menu	CRES_modernizer.DLL	shared:185	Options	选项		
582	IDS_CREDITS	menu	CRES_modernizer.DLL	shared:186	Credits	制作人员		
583	IDS_EXIT	menu	CRES_modernizer.DLL	shared:187	Quit	退出		
584	IDS_NEWGAME	menu	CRES_modernizer.DLL	shared:188	New game	新游戏		
585	IDS_LOADGAME	menu	CRES_modernizer.DLL	shared:189	Load game	载入游戏		
586	IDS_SAVEGAME	menu	CRES_modernizer.DLL	shared:190	Save game	保存游戏		
587	IDS_CUSTOM_LEVEL	menu	CRES_modernizer.DLL	shared:191	Custom level	自定义关卡		
588	IDS_DISPLAY	menu	CRES_modernizer.DLL	shared:192	Display	显示		
589	IDS_SOUND	menu	CRES_modernizer.DLL	shared:193	Sound	声音		
590	IDS_KEYBOARD	menu	CRES_modernizer.DLL	shared:194	Keyboard	键盘		
591	IDS_MOUSE	menu	CRES_modernizer.DLL	shared:195	Mouse	鼠标		
593	IDS_RESTOREDEFAULTS	menu	CRES_modernizer.DLL	shared:241	Restore defaults	恢复默认设置		
594	IDS_CONFIGURE	menu	CRES_modernizer.DLL	shared:242	Configure controls	配置控制		
595	IDS_BRIEFING	menu	CRES_modernizer.DLL	shared:243	Briefing:	任务简报：		
596	IDS_OBJECTIVES	menu	CRES_modernizer.DLL	shared:244	Objectives:	目标：		
597	IDS_NORMALTURN	menu	CRES_modernizer.DLL	shared:245	Normal turn speed	普通转向速度		
598	IDS_FASTTURN	menu	CRES_modernizer.DLL	shared:246	Fast turn speed	快速转向速度		
599	IDS_LOOKUP	menu	CRES_modernizer.DLL	shared:247	Up/down look speed	上下视角速度		
600	IDS_START_MISSION	mission	CRES_modernizer.DLL	shared:248	Start mission	开始任务		
601	IDS_CH_ALPHA	menu	CRES_modernizer.DLL	shared:249	Opacity	不透明度		
908	IDS_LASER;IDS_TEAM2_NAME	menu	CRES_modernizer.DLL	shared:693	Red	红		
603	IDS_CH_G	menu	CRES_modernizer.DLL	shared:251	Green	绿		
876	IDS_TEAM1_NAME	menu	CRES_modernizer.DLL	shared:653	Blue	蓝		
605	IDS_CH_STYLE	menu	CRES_modernizer.DLL	shared:253	Style	样式		
606	IDS_CH_BASIC	menu	CRES_modernizer.DLL	shared:254	Basic	基本		
607	IDS_CH_CROSSBAR	menu	CRES_modernizer.DLL	shared:255	Crossbar	十字线		
608	IDS_CH_DOTCROSS	menu	CRES_modernizer.DLL	shared:260	Dot-cross	点状十字		
609	IDS_CH_POST	menu	CRES_modernizer.DLL	shared:261	Post	柱状		
610	IDS_CH_DOT	menu	CRES_modernizer.DLL	shared:262	Dot	圆点		
611	IDS_CH_CORNER	menu	CRES_modernizer.DLL	shared:263	Corner	角状		
612	IDS_CH_DYNAMIC	menu	CRES_modernizer.DLL	shared:264	Dynamic scaling	动态缩放		
873	IDS_ADVCONTROLS_CROSSHAIR	menu	CRES_modernizer.DLL	shared:650	Crosshair	准星		
614	IDS_PROFILE	menu	CRES_modernizer.DLL	shared:266	Profile	档案		
615	IDS_HELP_PROFILE	menu	CRES_modernizer.DLL	shared:267	Choose, create, or delete player profiles.	选择、创建或删除玩家档案		
617	IDS_CABLE	menu	CRES_modernizer.DLL	shared:269	Cable	有线网络		
618	IDS_DSL;IDS_TEAM_NAME	menu	CRES_modernizer.DLL	shared:270	Team name	队伍名称		
619	IDS_DSL_HIGH	menu	CRES_modernizer.DLL	shared:271	DSL (High)	DSL（高速）		
622	IDS_BANDWIDTH_CYCLE	menu	CRES_modernizer.DLL	shared:274	Bandwidth	带宽		
623	IDS_HELP_BANDWIDTH_CYCLE	menu	CRES_modernizer.DLL	shared:275	Cycle bandwidth setting	切换带宽设置		
624	IDS_SCORE	menu	CRES_modernizer.DLL	shared:280	Score:	分数：		
625	IDS_HELP_BANDWIDTH_EDIT	menu	CRES_modernizer.DLL	shared:281	Specify a custom bandwidth	指定自定义带宽		
626	IDS_BANDWIDTH_EDIT	menu	CRES_modernizer.DLL	shared:282	Bandwidth (custom)	带宽（自定义）		
627	IDS_PROFILE_LIST	menu	CRES_modernizer.DLL	shared:283	Profiles:	档案：		
628	IDS_RESUME	menu	CRES_modernizer.DLL	shared:284	Resume game	继续游戏		
629	IDS_CONTINUE_GAME	menu	CRES_modernizer.DLL	shared:285	Continue game	继续游戏		
630	IDS_TEAM_MODEL	menu	CRES_modernizer.DLL	shared:286	Team model	队伍模型		
631	IDS_GAMMA	menu	CRES_modernizer.DLL	shared:287	Gamma	伽马值		
632	IDS_HEADBOB	menu	CRES_modernizer.DLL	shared:288	Head bob	头部晃动		
633	IDS_WEAPONSWAY	equipment	CRES_modernizer.DLL	shared:289	Weapon sway	武器摆动		
634	IDS_HELP_HEADBOB	menu	CRES_modernizer.DLL	shared:290	Sets the intensity of the simulated head movement while walking.	设置行走时模拟头部晃动的强度		
635	IDS_HELP_WEAPONSWAY	equipment	CRES_modernizer.DLL	shared:291	Sets the intensity of the simulated weapon movement while walking.	设置行走时模拟武器摆动的强度		
636	IDS_HELP_PICKUP_MSG_DUR	menu	CRES_modernizer.DLL	shared:292	Sets the length of time that messages will remain on the screen.	设置消息在屏幕上保留的时间		
637	IDS_PICKUP_MSG_DUR	menu	CRES_modernizer.DLL	shared:293	Message duration	消息持续时间		
638	IDS_IGNORE_TAUNTS	menu	CRES_modernizer.DLL	shared:294	Ignore taunts	忽略挑衅		
641	IDS_HELP_ALLOW_TAUNTS	menu	CRES_modernizer.DLL	shared:301	Toggle the use of audio taunts.	启用或禁用语音挑衅		
640	IDS_ALLOW_TAUNTS	menu	CRES_modernizer.DLL	shared:300	Audio taunts	语音挑衅		
642	IDS_RENAME	menu	CRES_modernizer.DLL	shared:302	Rename	重命名		
643	IDS_VERSION_FILTER	menu	CRES_modernizer.DLL	shared:303	Version:	版本：		
644	IDS_MAIN	menu	CRES_modernizer.DLL	shared:304	Main menu	主菜单		
645	IDS_HELP_GAMMA	menu	CRES_modernizer.DLL	shared:305	Adjust the gamma level of the display.	调整画面的伽马值		
646	IDS_HELP_SINGLEPLAYER	menu	CRES_modernizer.DLL	shared:306	Start, load, or save a single player game.	开始、载入或保存单人游戏		
647	IDS_HELP_MULTIPLAYER	menu	CRES_modernizer.DLL	shared:307	Start an internet multiplayer game or set multiplayer options.	开始互联网多人游戏或设置多人游戏选项		
648	IDS_HELP_OPTIONS	menu	CRES_modernizer.DLL	shared:308	Set display, sound, control, game, and performance options.	设置显示、声音、控制、游戏和性能选项		
649	IDS_HELP_EXIT	menu	CRES_modernizer.DLL	shared:309	Leave the game.	退出游戏		
650	IDS_HELP_NEW	menu	CRES_modernizer.DLL	shared:310	Start a new game.	开始新游戏		
651	IDS_HELP_LOAD	menu	CRES_modernizer.DLL	shared:311	Load a saved game.	载入已保存的游戏		
652	IDS_HELP_SAVE	menu	CRES_modernizer.DLL	shared:312	Save the current game.	保存当前游戏		
653	IDS_HELP_CUSTOM	menu	CRES_modernizer.DLL	shared:313	Load a custom level.	载入自定义关卡		
654	IDS_HELP_PROFILE_CREATE	menu	CRES_modernizer.DLL	shared:314	Create a new profile.	创建新档案		
655	IDS_HELP_BACK	menu	CRES_modernizer.DLL	shared:315	Return to the previous screen.	返回上一界面		
656	IDS_HELP_DIFFICULTY	menu	CRES_modernizer.DLL	shared:320	Set the game difficulty.	设置游戏难度		
657	IDS_HELP_DISPLAY	menu	CRES_modernizer.DLL	shared:321	Set display options.	设置显示选项		
658	IDS_HELP_SOUND	menu	CRES_modernizer.DLL	shared:322	Set audio options.	设置声音选项		
659	IDS_HELP_CONTROLS	menu	CRES_modernizer.DLL	shared:323	Set controller configurations.	设置控制器配置		
660	IDS_HELP_RENDERER	menu	CRES_modernizer.DLL	shared:324	Choose renderer.	选择渲染器		
661	IDS_HELP_RESOLUTION	menu	CRES_modernizer.DLL	shared:325	Set screen resolution and bit depth.	设置屏幕分辨率和色彩位数		
663	IDS_HELP_DETAILLEVEL	menu	CRES_modernizer.DLL	shared:327	Set preset texture detail settings.	设置预设纹理细节等级		
664	IDS_HELP_ADVDISPLAY	menu	CRES_modernizer.DLL	shared:328	Set display options that may affect performance.	设置可能影响性能的显示选项		
665	IDS_HELP_LOOKSPRING	menu	CRES_modernizer.DLL	shared:329	Automatically center view when you move.	移动时自动将视角回正		
666	IDS_HELP_RUNLOCK	menu	CRES_modernizer.DLL	shared:330	Toggle run as the default movement.	设置奔跑为默认移动方式		
667	IDS_HELP_CROSSHAIR	menu	CRES_modernizer.DLL	shared:331	Toggle use of crosshair.	启用或禁用准星		
668	IDS_HELP_GORE	menu	CRES_modernizer.DLL	shared:332	Toggle the use of blood effects.	启用或禁用血液效果		
669	IDS_HELP_SHADOWS	menu	CRES_modernizer.DLL	shared:333	Set the level of detail for character shadows.	设置角色阴影的细节等级		
670	IDS_TITLE_SUBROUTINES;IDS_HELP_TEAM_MODEL	menu	CRES_modernizer.DLL	shared:334	Set the model used for the team.	设置队伍使用的模型		
671	IDS_HOST_CAMPAIGN	menu	CRES_modernizer.DLL	shared:335	Campaign	战役		
672	IDS_TITLE_RATINGS;IDS_TEAM_1	menu	CRES_modernizer.DLL	shared:1101	Blue team	蓝队		
673	IDS_HELP_CAMPAIGN_NAME	menu	CRES_modernizer.DLL	shared:1102	Choose the multiplayer campaign to host.	选择要主办的多人战役		
674	IDS_DETAILTEXTURES	menu	CRES_modernizer.DLL	shared:1103	Detail textures	细节纹理		
675	IDS_HELP_DETAILTEXTURES	menu	CRES_modernizer.DLL	shared:1104	Toggle the use of detail textures.	启用或禁用细节纹理		
676	IDS_ENVIRONMENT_MAP	menu	CRES_modernizer.DLL	shared:1105	Environment map	环境贴图		
677	IDS_HELP_ENVIRONMENT_MAP	menu	CRES_modernizer.DLL	shared:1106	Toggle the use of environment maps.	启用或禁用环境贴图		
678	IDS_DYNAMICLIGHTS	menu	CRES_modernizer.DLL	shared:1107	Dynamic lights	动态光源		
679	IDS_HELP_DYNAMICLIGHTS	menu	CRES_modernizer.DLL	shared:1108	Toggles the use of dynamic lights.	启用或禁用动态光源		
680	IDS_TRIPLE_BUFF	menu	CRES_modernizer.DLL	shared:1109	Triple buffering	三重缓冲		
681	IDS_HELP_TRIPLE_BUFF	menu	CRES_modernizer.DLL	shared:1110	Toggle the use of triple buffering.	启用或禁用三重缓冲		
682	IDS_HELP_SETCONTROL	menu	CRES_modernizer.DLL	shared:1111	Press Enter or click the left mouse button to set a control for this action.	按Enter键或单击鼠标左键，为此操作设置按键		
683	IDS_HELP_CUSTOMCONTROLS	menu	CRES_modernizer.DLL	shared:1112	Assign keyboard, mouse, and game controller actions.	分配键盘、鼠标和游戏控制器操作		
684	IDS_HELP_MOUSE	menu	CRES_modernizer.DLL	shared:1113	Set mouse configuration options.	设置鼠标配置选项		
685	IDS_HELP_JOYSTICK	menu	CRES_modernizer.DLL	shared:1114	Set joystick or gamepad configuration options.	设置摇杆或游戏手柄配置选项		
686	IDS_HELP_ADVCONTROLS	menu	CRES_modernizer.DLL	shared:1115	Set advanced controls options.	设置高级控制选项		
687	IDS_HELP_RESTORE	menu	CRES_modernizer.DLL	shared:1116	Restore controls to default values.	将控制恢复为默认设置		
688	IDS_HELP_SOUNDFX	menu	CRES_modernizer.DLL	shared:1121	Toggle playing of sound effects.	启用或禁用音效播放		
689	IDS_HELP_SOUNDVOL	menu	CRES_modernizer.DLL	shared:1122	Set volume of sound effects.	设置音效音量		
690	IDS_HELP_SOUNDQUAL	menu	CRES_modernizer.DLL	shared:1123	Set quality of sound effects. This may affect performance.	设置音效质量，这可能会影响性能		
691	IDS_HELP_MUSIC	menu	CRES_modernizer.DLL	shared:1124	Toggle playing of music.	启用或禁用音乐播放		
692	IDS_HELP_MUSICVOL	menu	CRES_modernizer.DLL	shared:1125	Set volume of music.	设置音乐音量		
693	IDS_HELP_CUSTOMLEVEL	menu	CRES_modernizer.DLL	shared:1126	Load the highlighted custom level.	载入选中的自定义关卡		
694	IDS_HELP_USEJOYSTICK	menu	CRES_modernizer.DLL	shared:1127	Toggle use of joystick or gamepad.	启用或禁用摇杆或游戏手柄		
695	IDS_HELP_INVERTAXIS	menu	CRES_modernizer.DLL	shared:1128	Toggle inversion on this axis.	启用或禁用此轴反向		
696	IDS_HELP_DEADZONE	menu	CRES_modernizer.DLL	shared:1129	Set the dead zone for this axis.	设置此轴的死区		
697	IDS_HELP_ANALOG	menu	CRES_modernizer.DLL	shared:1130	Toggle between analog and digital.	切换模拟与数字模式		
698	IDS_HELP_JOY_SENSE	menu	CRES_modernizer.DLL	shared:1131	Set the sensitivity of the joystick on this axis.	设置摇杆此轴的灵敏度		
699	IDS_HELP_JOY_CENTER	menu	CRES_modernizer.DLL	shared:1132	Toggle use of center correction.	启用或禁用中心校正		
700	IDS_HELP_INVERTY	menu	CRES_modernizer.DLL	shared:1133	Toggle inversion of the mouse.	启用或禁用鼠标反向		
701	IDS_HELP_MOUSELOOK	menu	CRES_modernizer.DLL	shared:1134	Toggle use of mouse to look.	启用或禁用鼠标控制视角		
702	IDS_HELP_MOUSE_SENSE	menu	CRES_modernizer.DLL	shared:1135	Set sensitivity of the mouse.	设置鼠标灵敏度		
703	IDS_HELP_MOUSE_INPUT	menu	CRES_modernizer.DLL	shared:1136	Set how much the mouse movement is smoothed.	设置鼠标移动的平滑程度		
704	IDS_HELP_MOUSE_BUTTON	menu	CRES_modernizer.DLL	shared:1141	Set the action assigned to this button.	设置分配给此按钮的操作		
705	IDS_HELP_NORMALTURN	menu	CRES_modernizer.DLL	shared:1142	Set the normal turning speed for keyboard controls.	设置键盘控制的普通转向速度		
706	IDS_HELP_FASTTURN	menu	CRES_modernizer.DLL	shared:1143	Set the fast turn speed for keyboard controls.	设置键盘控制的快速转向速度		
707	IDS_HELP_LOOKUP	menu	CRES_modernizer.DLL	shared:1144	Set the up/down look speed for keyboard controls.	设置键盘控制的上下视角速度		
